,date,link,location,movie,time
38,2019-03-18,http://thenewbev.com/program/march-18-ravenous-monday-matinees/,The New Beverly,Ravenous,2:00 pm
39,2019-03-18,http://thenewbev.com/program/march-18-darby-ogill-and-the-little-people-the-quiet-man/,The New Beverly,Darby O’Gill and the Little People (IB Tech Print)             ,7:30 pm
40,2019-03-18,http://thenewbev.com/program/march-18-darby-ogill-and-the-little-people-the-quiet-man/,The New Beverly,The Quiet Man (IB Tech Print),9:30 pm
41,2019-03-19,http://thenewbev.com/program/march-19-the-slumber-party-massacre-sorority-house-massacre/,The New Beverly,The Slumber Party Massacre (Special Guests)             ,7:30 pm
42,2019-03-19,http://thenewbev.com/program/march-19-the-slumber-party-massacre-sorority-house-massacre/,The New Beverly,Sorority House Massacre,9:20 pm
43,2019-03-20,http://thenewbev.com/program/march-20-the-three-faces-of-eve-afternoon-classics/,The New Beverly,The Three Faces of Eve,2:00 pm
44,2019-03-20,http://thenewbev.com/program/march-20-fort-apache-ulzanas-raid/,The New Beverly,Fort Apache             ,7:30 pm
45,2019-03-20,http://thenewbev.com/program/march-20-fort-apache-ulzanas-raid/,The New Beverly,Ulzana’s Raid,10:10 pm
46,2019-03-21,http://thenewbev.com/program/march-21-fort-apache-ulzanas-raid/,The New Beverly,Fort Apache             ,7:30 pm
47,2019-03-21,http://thenewbev.com/program/march-21-fort-apache-ulzanas-raid/,The New Beverly,Ulzana’s Raid,10:10 pm
48,2019-03-22,http://thenewbev.com/program/march-22-monty-python-and-the-holy-grail-the-meaning-of-life/,The New Beverly,Monty Python and the Holy Grail             ,7:00 pm
49,2019-03-22,http://thenewbev.com/program/march-22-monty-python-and-the-holy-grail-the-meaning-of-life/,The New Beverly,Monty Python’s The Meaning of Life,9:00 pm
50,2019-03-22,http://thenewbev.com/program/march-22-kill-bill-volume-2-midnight-show/,The New Beverly,Kill Bill: Volume 2,11:59 pm
51,2019-03-23,http://thenewbev.com/program/march-23-national-velvet-kiddee-matinee/,The New Beverly,National Velvet,2:00 pm
52,2019-03-23,http://thenewbev.com/program/march-23-monty-python-and-the-holy-grail-the-meaning-of-life/,The New Beverly,Monty Python and the Holy Grail             ,7:00 pm
53,2019-03-23,http://thenewbev.com/program/march-23-monty-python-and-the-holy-grail-the-meaning-of-life/,The New Beverly,Monty Python’s The Meaning of Life,9:00 pm
54,2019-03-23,http://thenewbev.com/program/march-23-everything-you-always-wanted-to-know-about-sex-but-were-afraid-to-ask-midnight-show/,The New Beverly,Everything You Always Wanted to Know About Sex* But Were Afraid to Ask,11:59 pm
55,2019-03-24,http://thenewbev.com/program/march-24-national-velvet-kiddee-matinee/,The New Beverly,National Velvet,2:00 pm
56,2019-03-24,http://thenewbev.com/program/march-24-the-mephisto-waltz-special-delivery/,The New Beverly,The Mephisto Waltz             ,6:30 pm
57,2019-03-24,http://thenewbev.com/program/march-24-the-mephisto-waltz-special-delivery/,The New Beverly,Special Delivery,8:50 pm
58,2019-03-25,http://thenewbev.com/program/march-25-party-girl-monday-matinees/,The New Beverly,Party Girl (Director in Person!),2:00 pm
59,2019-03-25,http://thenewbev.com/program/march-25-the-mephisto-waltz-special-delivery/,The New Beverly,The Mephisto Waltz             ,7:30 pm
60,2019-03-25,http://thenewbev.com/program/march-25-the-mephisto-waltz-special-delivery/,The New Beverly,Special Delivery,9:50 pm
61,2019-03-26,http://thenewbev.com/program/march-26-the-tattoo-connection-exit-the-dragon-enter-the-tiger/,The New Beverly,The Tattoo Connection             ,7:30 pm
